Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-02-17 14:41:14,22.1658,12.0200,536.2522
2026-02-17 14:41:17,37.9908,14.9034,372.9388
2026-02-17 14:41:20,18.5181,13.2107,4818.6763
2026-02-17 14:41:25,12.0682,7.2233,425.5977
2026-02-17 14:41:28,18.9120,13.5634,2728.1639
2026-02-17 14:41:31,29.1923,11.3837,423.1456
2026-02-17 14:41:34,24.4925,14.8092,2756.4831
2026-02-17 14:41:37,26.3381,14.0933,4108.1901
2026-02-17 14:41:41,17.9815,6.1263,1861.8699
2026-02-17 14:41:44,20.6151,10.3500,5176.7997
2026-02-17 14:41:49,19.6682,10.4151,6260.6724
2026-02-17 14:41:55,22.5503,10.4023,7103.1837
2026-02-17 14:42:02,15.6123,7.6919,4999.7015
2026-02-17 14:42:07,27.7405,8.6989,4214.2315
2026-02-17 14:42:12,18.7512,13.4819,2689.0842
